PONumber,WONumber,vendorCode,iQtyOrdered,ExpenseType,dUnitPrice,dTotalCost,dtordereddate,dtReceivedDate,stkcode,sDesc
48086   ,,"hom2",5,"Maintenance-Inventory",129.27,646.35,"2023-06-26 00:00:00","07/05/2023 00:00:00","10-00925        ","Pre hung Door 24 x 82"
1321    ,,"lem5",2,"XLegacyX",68,136,"2004-01-19 00:00:00",,"10-00925        ","Pre hung Door 24 x 82"
43399   ,,"tif1",1,"Payables",0.01,0.01,"2021-08-26 00:00:00",,"10-00950        ","Hollow Core Door 36 x 80 slab"
48647   ,,"hom2",2,"Maintenance-Inventory",74.13,148.26,"2023-09-26 00:00:00","09/28/2023 00:00:00","10-00950        ","Hollow Core Door 36 x 80 slab"
47738   ,,"lowes",2,"Plumbing-Inventory",138.7,277.4,"2023-05-02 00:00:00","05/02/2023 00:00:00","10-00950        ","Hollow Core Door 36 x 80 slab"
47738   ,,"lowes",1,"Plumbing-Inventory",70.3,70.3,"2023-05-02 00:00:00","05/02/2023 00:00:00","10-00950        ","Hollow Core Door 36 x 80 slab"
1218    ,,"lem5",1,"XLegacyX",73,73,"2004-01-12 00:00:00",,"10-00950        ","Pre hung Door 30 x 82"
48756   ,,"cen1",2,"Maintenance-Inventory",4.99,9.98,"2023-10-12 00:00:00",,"10-00980        ","HINGES DOOR, 1 PAIR"
48767   ,,"hom2",2,"Maintenance-Inventory",5.92,11.84,"2023-10-13 00:00:00",,"10-00980        ","HINGES DOOR, 1 PAIR"
48648   ,,"rit1",1,"Maintenance-Inventory",8,8,"2023-09-26 00:00:00","10/16/2023 00:00:00","10-00980        ",""
670     ,,"lem5",1,"XLegacyX",75,75,"2003-12-11 00:00:00",,"10-01000        ","Pre hung door 32x82"
47831   ,469282  ,"hom2",4,"Subcontractor-Maintenance",21.97,87.88,"2023-05-15 00:00:00","05/15/2023 00:00:00","10-01060        ","BATT INSULATION-88 SQ.FT."
47829   ,469283  ,"hom2",4,"Subcontractor-Maintenance",21.97,87.88,"2023-05-15 00:00:00","05/15/2023 00:00:00","10-01060        ","BATT INSULATION-88 SQ.FT."
47740   ,,"hom2",4,"Maintenance-Inventory",21.97,87.88,"2023-05-02 00:00:00","05/17/2023 00:00:00","10-01060        ","BATT INSULATION-88 SQ.FT."
47824   ,467137  ,"hom2",13,"Subcontractor-Maintenance",21.97,285.61,"2023-05-15 00:00:00","05/15/2023 00:00:00","10-01060        ","BATT INSULATION-88 SQ.FT."
47026   ,461882  ,"cen1",5,"Maintenance-COGS",40.49,202.45,"2023-01-31 00:00:00","02/01/2023 00:00:00","10-01060        ","BATT INSULATION-40sqft"
47172   ,449010  ,"hom2",5,"Maintenance-COGS",19.97,99.85,"2023-02-21 00:00:00","03/03/2023 00:00:00","10-01060        ","BATT INSULATION-40"
47295   ,463946  ,"hom2",4,"Maintenance-COGS",21.97,87.88,"2023-03-07 00:00:00","03/22/2023 00:00:00","10-01060        ","BATT INSULATION-88 SQ.FT."
41716   ,416708  ,"tif1",1,"Alltype Expense",75.5,75.5,"2021-02-03 00:00:00",,"10-01060        ","BATT INSULATION-88 SQ.FT."
41752   ,416713  ,"tif1",1,"Alltype Expense",75.5,75.5,"2021-02-05 00:00:00",,"10-01060        ","BATT INSULATION-88 SQ.FT."
41716   ,416708  ,"tif1",2,"Alltype Expense",3.36,6.72,"2021-02-03 00:00:00",,"10-01100        ","J-Bead, 1/2"
41594   ,415736  ,"tif1",2,"Alltype Expense",0.01,0.02,"2021-01-12 00:00:00",,"10-01100        ","J-Bead, 1/2"
41752   ,416713  ,"tif1",2,"Alltype Expense",3.36,6.72,"2021-02-05 00:00:00",,"10-01100        ","J-Bead, 1/2"
955     ,,"lem5",3,"XLegacyX",2.5,7.5,"2003-12-17 00:00:00",,"10-01100        ","J-Bead, 1/2"
47131   ,462551  ,"cen1",9,"Payables",11.69,105.21,"2023-02-14 00:00:00","02/14/2023 00:00:00","10-01120        ","LIQUID NAILS large tube"
45718   ,,"rit1",2,"Payables",3.95,7.9,"2022-07-29 00:00:00",,"10-01120        ","LIQUID NAILS REGULAR SIZE"
47427   ,,"hom2",18,"Maintenance-Inventory",11.98,215.64,"2023-03-22 00:00:00",,"10-01121        ","LIQUID NAILS- LARGE"
41724   ,416713  ,"tif1",2,"Alltype Expense",8.99,17.98,"2021-02-03 00:00:00",,"10-01121        ","LIQUID NAILS- LARGE"
41716   ,416708  ,"tif1",2,"Alltype Expense",8.99,17.98,"2021-02-03 00:00:00",,"10-01121        ","LIQUID NAILS- LARGE"
41802   ,416714  ,"tif1",2,"Alltype Expense",8.99,17.98,"2021-02-10 00:00:00",,"10-01121        ","LIQUID NAILS- LARGE"
47440   ,466447  ,"cen1",6,"Maintenance-COGS",5.39,32.34,"2023-03-23 00:00:00","03/23/2023 00:00:00","10-01121        ","LIQUID NAILS- LARGE"
943     ,,"lem5",2,"XLegacyX",12.5,25,"2003-12-17 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
6543    ,,"dom3",120,"XLegacyX",1,120,"2006-08-01 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
425     ,,"lem5",2,"XLegacyX",12.5,25,"2003-11-24 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
52      ,,"lem5",2,"XLegacyX",1,2,"2003-11-03 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
297     ,,"lem5",2,"XLegacyX",12.5,25,"2003-11-15 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
4301    ,,"dom3",100,"XLegacyX",1,100,"2005-05-09 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
3127    ,,"dom3",60,"XLegacyX",1,60,"2004-10-12 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
2489    ,,"dom3",100,"XLegacyX",1,100,"2004-06-23 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
1320    ,,"lem5",2,"XLegacyX",12.5,25,"2004-01-19 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
5430    ,,"dom3",120,"XLegacyX",1,120,"2006-01-05 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
557     ,,"dom3",120,"XLegacyX",1,120,"2003-12-02 00:00:00",,"10-01200        ","Lock, Bathroom Mortise"
5430    ,,"dom3",120,"XLegacyX",1,120,"2006-01-05 00:00:00",,"10-01300        ","Lock, Privacy"
1115    ,,"lem5",1,"XLegacyX",8.5,8.5,"2004-01-05 00:00:00",,"10-01300        ","Lock, Privacy"
492     ,,"roy4",4,"XLegacyX",8.5,34,"2003-12-01 00:00:00",,"10-01300        ","Lock, Privacy"
610     ,,"lem5",2,"XLegacyX",8.5,17,"2003-12-05 00:00:00",,"10-01300        ","Lock, Privacy"
1291    ,,"lem5",5,"XLegacyX",8.5,42.5,"2004-01-15 00:00:00",,"10-01300        ","Lock, Privacy"
42400   ,,"dom3",60,"Alltype Expense",0.01,0.6,"2021-04-15 00:00:00",,"10-01300        ","Lock, Privacy"
43791   ,,"dom3",120,"Payables",6.58,789.6,"2021-10-19 00:00:00",,"10-01300        ","Lock, Privacy"
44448   ,,"dom3",60,"Payables",6.58,394.8,"2022-01-26 00:00:00",,"10-01300        ","Lock, Privacy"
45234   ,,"dom3",90,"Payables",7.17,645.3,"2022-05-12 00:00:00",,"10-01300        ","Lock, Privacy"
47050   ,,"hom2",3,"Maintenance-Inventory",60.78,182.34,"2023-02-03 00:00:00",,"10-01300        ","Lock, Privacy 10 pack"
46938   ,461344  ,"cen1",2,"Maintenance-COGS",10.79,21.58,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-01300        ","Lock, Privacy"
46939   ,437441  ,"cen1",2,"Maintenance-COGS",11.69,23.38,"2023-01-24 00:00:00","01/25/2023 00:00:00","10-01300        ","Lock, Privacy"
47044   ,463117  ,"cen1",1,"Payables",11.69,11.69,"2023-02-03 00:00:00","02/03/2023 00:00:00","10-01300        ","Lock, Privacy"
46629   ,,"dom3",96,"Payables",8.16,783.36,"2022-12-09 00:00:00","12/16/2022 00:00:00","10-01300        ","Lock, Privacy"
47695   ,,"hom2",6,"Maintenance-Inventory",60.78,364.68,"2023-04-26 00:00:00","05/09/2023 00:00:00","10-01300        ","Lock, Privacy"
47449   ,466715  ,"cen1",2,"Maintenance-COGS",11.69,23.38,"2023-03-27 00:00:00","03/27/2023 00:00:00","10-01300        ","Lock, Privacy"
48714   ,,"hom2",6,"Maintenance-Inventory",8.47,50.82,"2023-10-06 00:00:00","10/06/2023 00:00:00","10-01300        ",""
48767   ,,"hom2",50,"Maintenance-Inventory",8.07,403.5,"2023-10-13 00:00:00",,"10-01300        ","Lock, Privacy"
48584   ,,"hom2",20,"Maintenance-Inventory",6.07,121.4,"2023-09-18 00:00:00","09/28/2023 00:00:00","10-01300        ","Lock, Privacy"
48239   ,,"hom2",40,"Maintenance-Inventory",5.74,229.6,"2023-07-25 00:00:00","07/25/2023 00:00:00","10-01300        ","Lock, Privacy"
48584   ,,"hom2",10,"Maintenance-Inventory",8.07,80.7,"2023-09-18 00:00:00",,"10-01300        ","Lock, Privacy"
2489    ,,"dom3",200,"XLegacyX",1,200,"2004-06-23 00:00:00",,"10-01300        ","Lock, Privacy"
1810    ,,"dom3",120,"XLegacyX",8.5,1020,"2004-03-03 00:00:00",,"10-01300        ","Lock, Privacy"
3127    ,,"dom3",120,"XLegacyX",1,120,"2004-10-12 00:00:00",,"10-01300        ","Lock, Privacy"
1252    ,,"lem5",3,"XLegacyX",8.5,25.5,"2004-01-14 00:00:00",,"10-01300        ","Lock, Privacy"
1242    ,,"dom3",60,"XLegacyX",1,60,"2004-01-13 00:00:00",,"10-01300        ","Lock, Privacy"
1447    ,,"lem5",4,"XLegacyX",8.5,34,"2004-01-26 00:00:00",,"10-01300        ","Lock, Privacy"
1400    ,,"lem5",3,"XLegacyX",8.5,25.5,"2004-01-22 00:00:00",,"10-01300        ","Lock, Privacy"
1388    ,,"lem5",5,"XLegacyX",8.5,42.5,"2004-01-21 00:00:00",,"10-01300        ","Lock, Privacy"
1353    ,,"lem5",1,"XLegacyX",8.5,8.5,"2004-01-20 00:00:00",,"10-01300        ","Lock, Privacy"
1364    ,,"lem5",4,"XLegacyX",8.5,34,"2004-01-20 00:00:00",,"10-01300        ","Lock, Privacy"
1619    ,,"lem5",3,"XLegacyX",8.5,25.5,"2004-02-05 00:00:00",,"10-01300        ","Lock, Privacy"
378     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-11-18 00:00:00",,"10-01300        ","Lock, Privacy"
439     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-11-24 00:00:00",,"10-01300        ","Lock, Privacy"
143     ,,"lem5",4,"XLegacyX",1,4,"2003-11-10 00:00:00",,"10-01300        ","Lock, Privacy"
670     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-12-11 00:00:00",,"10-01300        ","Lock, Privacy"
653     ,,"lem5",2,"XLegacyX",8.5,17,"2003-12-10 00:00:00",,"10-01300        ","Lock, Privacy"
660     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-12-10 00:00:00",,"10-01300        ","Lock, Privacy"
603     ,,"lem5",6,"XLegacyX",8.5,51,"2003-12-05 00:00:00",,"10-01300        ","Lock, Privacy"
592     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-12-05 00:00:00",,"10-01300        ","Lock, Privacy"
921     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-12-16 00:00:00",,"10-01300        ","Lock, Privacy"
1154    ,,"lem5",1,"XLegacyX",8.5,8.5,"2004-01-08 00:00:00",,"10-01300        ","Lock, Privacy"
1485    ,,"lem5",3,"XLegacyX",8.5,25.5,"2004-01-28 00:00:00",,"10-01300        ","Lock, Privacy"
4244    ,,"dom3",120,"XLegacyX",1,120,"2005-04-28 00:00:00",,"10-01300        ","Lock, Privacy"
6872    ,,"dom3",120,"XLegacyX",1,120,"2006-10-03 00:00:00",,"10-01300        ","Lock, Privacy"
3954    ,,"dom3",120,"XLegacyX",1,120,"2005-03-02 00:00:00",,"10-01300        ","Lock, Privacy"
1743    ,,"dom3",10,"XLegacyX",1,10,"2004-02-19 00:00:00",,"10-01300        ","Lock, Privacy"
3418    ,,"dom3",120,"XLegacyX",1,120,"2004-11-30 00:00:00",,"10-01300        ","Lock, Privacy"
3681    ,,"dom3",120,"XLegacyX",1,120,"2005-01-17 00:00:00",,"10-01300        ","Lock, Privacy"
285     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-11-15 00:00:00",,"10-01300        ","Lock, Privacy"
6543    ,,"dom3",120,"XLegacyX",1,120,"2006-08-01 00:00:00",,"10-01300        ","Lock, Privacy"
46073   ,,"dom3",90,"Payables",7.17,645.3,"2022-09-26 00:00:00",,"10-01300        ","Lock, Privacy"
4762    ,,"dom3",120,"XLegacyX",1,120,"2005-08-18 00:00:00",,"10-01300        ","Lock, Privacy"
539     ,,"lem5",5,"XLegacyX",8.5,42.5,"2003-12-02 00:00:00",,"10-01300        ","Lock, Privacy"
352     ,,"lem5",2,"XLegacyX",8.5,17,"2003-11-17 00:00:00",,"10-01300        ","Lock, Privacy"
307     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-11-15 00:00:00",,"10-01300        ","Lock, Privacy"
46965   ,462545  ,"cen1",1,"Maintenance-COGS",11.69,11.69,"2023-01-25 00:00:00","01/25/2023 00:00:00","10-01300        ","Lock, Privacy"
442     ,,"lem5",1,"XLegacyX",8.5,8.5,"2003-11-24 00:00:00",,"10-01300        ","Lock, Privacy"
77      ,,"lem5",5,"XLegacyX",1,5,"2003-11-05 00:00:00",,"10-01300        ","Lock, Privacy"
46751   ,460634  ,"cen1",2,"Payables",11.69,23.38,"2022-12-27 00:00:00","01/04/2023 00:00:00","10-01300        ","Lock, Privacy"
46754   ,458485  ,"cen1",2,"Payables",11.69,23.38,"2022-12-27 00:00:00","01/03/2023 00:00:00","10-01300        ","Lock, Privacy"
46755   ,460404  ,"cen1",4,"Payables",11.69,46.76,"2022-12-27 00:00:00","01/03/2023 00:00:00","10-01300        ","Lock, Privacy"
46756   ,451184  ,"cen1",2,"Payables",11.69,23.38,"2022-12-27 00:00:00","01/03/2023 00:00:00","10-01300        ","Lock, Privacy"
46758   ,456879  ,"cen1",6,"Payables",11.69,70.14,"2022-12-27 00:00:00","01/03/2023 00:00:00","10-01300        ","Lock, Privacy"
46759   ,456892  ,"cen1",5,"Payables",10.99,54.95,"2022-12-27 00:00:00",,"10-01300        ","Lock, Privacy"
46757   ,458482  ,"cen1",2,"Payables",11.69,23.38,"2022-12-27 00:00:00","01/03/2023 00:00:00","10-01300        ","Lock, Privacy"
46986   ,,"hom2",4,"Maintenance-Inventory",60.83,243.32,"2023-01-27 00:00:00","02/13/2023 00:00:00","10-01300        ","Lock, Privacy"
5142    ,,"dom3",120,"XLegacyX",1,120,"2005-11-08 00:00:00",,"10-01300        ","Lock, Privacy"
5861    ,,"dom3",120,"XLegacyX",1,120,"2006-03-24 00:00:00",,"10-01300        ","Lock, Privacy"
939     ,,"lem5",5,"XLegacyX",7.5,37.5,"2003-12-17 00:00:00",,"10-01400        ","Lock, Bathroom Set"
513     ,,"lem5",2,"XLegacyX",7.5,15,"2003-12-01 00:00:00",,"10-01400        ","Lock, Bathroom Set"
610     ,,"lem5",1,"XLegacyX",7.5,7.5,"2003-12-05 00:00:00",,"10-01400        ","Lock, Bathroom Set"
1478    ,,"lem5",5,"XLegacyX",7.5,37.5,"2004-01-27 00:00:00",,"10-01400        ","Lock, Bathroom Set"
598     ,,"lem5",1,"XLegacyX",7.5,7.5,"2003-12-05 00:00:00",,"10-01400        ","Lock, Bathroom Set"
41851   ,,"ff1",24,"Alltype Expense",76,1824,"2021-02-12 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
2623    ,,"cen1",20,"XLegacyX",1,20,"2004-07-15 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
6253    ,,"cen1",30,"XLegacyX",1,30,"2006-05-30 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
3129    ,,"cen1",30,"XLegacyX",1,30,"2004-10-12 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
1317    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-01-19 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
1318    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-01-19 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
1241    ,,"cen1",10,"XLegacyX",1,10,"2004-01-13 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
2838    ,,"cen1",30,"XLegacyX",1,30,"2004-08-24 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
4013    ,,"cen1",25,"XLegacyX",1,25,"2005-03-16 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
3628    ,,"cen1",15,"XLegacyX",1,15,"2005-01-10 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
4443    ,,"cen1",20,"XLegacyX",1,20,"2005-06-10 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
1662    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-02-10 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
1969    ,,"cen1",15,"XLegacyX",1,15,"2004-03-30 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
515     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-12-01 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
146     ,,"lem5",2,"XLegacyX",1,2,"2003-11-10 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
103     ,,"lem5",1,"XLegacyX",1,1,"2003-11-06 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
52      ,,"lem5",1,"XLegacyX",1,1,"2003-11-03 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
178     ,,"lem5",2,"XLegacyX",1,2,"2003-11-11 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
426     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-24 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
943     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-12-17 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
317     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-15 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
319     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-15 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
462     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-25 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
5147    ,,"cen1",25,"XLegacyX",1,25,"2005-11-08 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
5340    ,,"cen1",25,"XLegacyX",1,25,"2005-12-15 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
5741    ,,"cen1",25,"XLegacyX",1,25,"2006-03-01 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
6956    ,,"cen1",25,"XLegacyX",1,25,"2006-10-17 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
6545    ,,"cen1",25,"XLegacyX",1,25,"2006-08-01 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
280     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-15 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
4865    ,,"cen1",20,"XLegacyX",1,20,"2005-09-09 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
3417    ,,"cen1",25,"XLegacyX",1,25,"2004-11-30 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
1744    ,,"cen1",25,"XLegacyX",1,25,"2004-02-19 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
3854    ,,"cen1",25,"XLegacyX",1,25,"2005-02-14 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
4579    ,,"cen1",25,"XLegacyX",1,25,"2005-07-11 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
1579    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-02-03 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
420     ,,"lem5",2,"XLegacyX",50.99,101.98,"2003-11-24 00:00:00",,"10-01500        ","Lock, Entry set mortise L.H.( 91A-3LH)"
167     ,,"lem5",1,"XLegacyX",1,1,"2003-11-11 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1410    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-01-22 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1048    ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-12-23 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
4579    ,,"cen1",25,"XLegacyX",1,25,"2005-07-11 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
3854    ,,"cen1",25,"XLegacyX",1,25,"2005-02-14 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1744    ,,"cen1",25,"XLegacyX",1,25,"2004-02-19 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
3417    ,,"cen1",25,"XLegacyX",1,25,"2004-11-30 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
4865    ,,"cen1",20,"XLegacyX",1,20,"2005-09-09 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
283     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-15 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
6545    ,,"cen1",25,"XLegacyX",1,25,"2006-08-01 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
6956    ,,"cen1",25,"XLegacyX",1,25,"2006-10-17 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
5741    ,,"cen1",25,"XLegacyX",1,25,"2006-03-01 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
5340    ,,"cen1",25,"XLegacyX",1,25,"2005-12-15 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
5147    ,,"cen1",25,"XLegacyX",1,25,"2005-11-08 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
943     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-12-17 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
378     ,,"lem5",2,"XLegacyX",50.99,101.98,"2003-11-18 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
292     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-15 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
272     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-15 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
52      ,,"lem5",1,"XLegacyX",1,1,"2003-11-03 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
103     ,,"lem5",1,"XLegacyX",1,1,"2003-11-06 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
514     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-12-01 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
506     ,,"lem5",2,"XLegacyX",50.99,101.98,"2003-12-01 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1103    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-01-05 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1969    ,,"cen1",15,"XLegacyX",1,15,"2004-03-30 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
2360    ,,"cen1",25,"XLegacyX",1,25,"2004-06-04 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1662    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-02-10 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
4443    ,,"cen1",20,"XLegacyX",1,20,"2005-06-10 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
3628    ,,"cen1",15,"XLegacyX",1,15,"2005-01-10 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
4013    ,,"cen1",25,"XLegacyX",1,25,"2005-03-16 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
2838    ,,"cen1",30,"XLegacyX",1,30,"2004-08-24 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1318    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-01-19 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1317    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-01-19 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1241    ,,"cen1",20,"XLegacyX",1,20,"2004-01-13 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1358    ,,"lem5",1,"XLegacyX",50.99,50.99,"2004-01-20 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
3129    ,,"cen1",30,"XLegacyX",1,30,"2004-10-12 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
6253    ,,"cen1",30,"XLegacyX",1,30,"2006-05-30 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
549     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-12-02 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
2623    ,,"cen1",10,"XLegacyX",1,10,"2004-07-15 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
288     ,,"lem5",1,"XLegacyX",50.99,50.99,"2003-11-15 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
41851   ,,"ff1",24,"Alltype Expense",76,1824,"2021-02-12 00:00:00",,"10-01600        ","Lock, Entry Mortist R.H.(91A-3RH)"
1637    ,,"dom3",120,"XLegacyX",1,120,"2004-02-05 00:00:00",,"10-01700        ","Lock< Mortise Set Inside"
2489    ,,"dom3",200,"XLegacyX",1,200,"2004-06-23 00:00:00",,"10-01700        ","Lock< Mortise Set Inside"
322     ,,"lem5",12,"XLegacyX",10.5,126,"2003-11-15 00:00:00",,"10-01700        ","Lock< Mortise Set Inside"
352     ,,"lem5",2,"XLegacyX",10.5,21,"2003-11-17 00:00:00",,"10-01700        ","Lock< Mortise Set Inside"
6543    ,,"dom3",120,"XLegacyX",1,120,"2006-08-01 00:00:00",,"10-01700        ","Lock< Mortise Set Inside"
3954    ,,"dom3",120,"XLegacyX",1,120,"2005-03-02 00:00:00",,"10-01700        ","Lock< Mortise Set Inside"
4244    ,,"dom3",120,"XLegacyX",1,120,"2005-04-28 00:00:00",,"10-01700        ","Lock< Mortise Set Inside"
